run_id,video_id,frame_idx,track_id,cls_id,conf,x1,y1,x2,y2
7b6f2cec8383,cyclar_data_29a,139,42,2,0.9344398975372314,0,433,717,943
7b6f2cec8383,cyclar_data_29a,140,42,2,0.9375138878822327,0,433,731,947
7b6f2cec8383,cyclar_data_29a,141,42,2,0.9312028884887695,0,430,743,949
7b6f2cec8383,cyclar_data_29a,142,42,2,0.9177603125572205,0,425,753,948
7b6f2cec8383,cyclar_data_29a,143,42,2,0.902515709400177,0,418,757,938
7b6f2cec8383,cyclar_data_29a,144,42,2,0.8794853091239929,0,408,760,930
7b6f2cec8383,cyclar_data_29a,145,42,2,0.8967810273170471,0,397,762,934
7b6f2cec8383,cyclar_data_29a,146,42,2,0.9088473916053772,0,388,762,925
7b6f2cec8383,cyclar_data_29a,147,42,2,0.8969746232032776,0,382,762,920
7b6f2cec8383,cyclar_data_29a,148,42,2,0.906459391117096,0,378,760,924
7b6f2cec8383,cyclar_data_29a,149,42,2,0.9043524861335754,0,372,755,923
7b6f2cec8383,cyclar_data_29a,150,42,2,0.8946335315704346,0,366,750,920
7b6f2cec8383,cyclar_data_29a,151,42,2,0.8941434621810913,0,363,745,923
7b6f2cec8383,cyclar_data_29a,152,42,2,0.8966894745826721,0,362,740,906
7b6f2cec8383,cyclar_data_29a,153,42,2,0.8923472762107849,0,357,734,916
7b6f2cec8383,cyclar_data_29a,154,42,2,0.8964484930038452,0,353,725,938
7b6f2cec8383,cyclar_data_29a,155,42,2,0.8812839388847351,0,349,718,951
7b6f2cec8383,cyclar_data_29a,156,42,2,0.8663908243179321,0,345,714,942
7b6f2cec8383,cyclar_data_29a,157,42,2,0.8747881054878235,0,342,712,946
7b6f2cec8383,cyclar_data_29a,158,42,2,0.8784875273704529,2,340,713,942
7b6f2cec8383,cyclar_data_29a,159,28,2,0.8862682580947876,826,484,1057,635
7b6f2cec8383,cyclar_data_29a,159,42,2,0.8749684691429138,4,340,717,939
7b6f2cec8383,cyclar_data_29a,160,28,2,0.8715820908546448,828,481,1059,632
7b6f2cec8383,cyclar_data_29a,160,42,2,0.8760518431663513,4,342,720,945
7b6f2cec8383,cyclar_data_29a,161,28,2,0.8741563558578491,829,480,1062,631
7b6f2cec8383,cyclar_data_29a,161,42,2,0.8847613334655762,3,347,722,958
7b6f2cec8383,cyclar_data_29a,162,28,2,0.864709734916687,829,482,1062,633
7b6f2cec8383,cyclar_data_29a,162,42,2,0.8857746124267578,3,352,724,965
7b6f2cec8383,cyclar_data_29a,163,28,2,0.8791746497154236,829,487,1063,638
7b6f2cec8383,cyclar_data_29a,163,42,2,0.8936529159545898,3,359,728,969
7b6f2cec8383,cyclar_data_29a,164,28,2,0.8219897150993347,834,496,1069,648
7b6f2cec8383,cyclar_data_29a,164,42,2,0.8950056433677673,3,368,734,970
7b6f2cec8383,cyclar_data_29a,165,28,2,0.8751057386398315,841,503,1077,656
